doi,source_pdf,abstract,material,substrate,electrolyte,overpotential_mV,current_density,confidence
10.1038/s41598-025-89313-5,Optimizing_charge_pathways_by_interface_engineering_in_Fe2O3.pdf,"The Oxygen Evolution Reaction (OER) is vital for energy conversion and storage. This study presents a multi-heterostructure catalyst, Fe2O3/Co3O4/Co(PO3)2, created by encapsulating Fe ions in COF/ MOF pores through grinding and one-step pyrolysis. The catalyst demonstrates exceptional OER",Fe-Co-P-O,nickel foam,,232.0,10.0,0.9
10.1038/s41427-022-00398-0,Constructing_a_multi-bishelled_cobalt-based_electrocatalyst_.pdf,"Electrochemical reduction of CO2 into value-added chemicals has been envisioned as a promising strategy to alleviate the issue of increasing CO2 emissions. However, the sluggish oxygen evolution reaction (OER), as the anodic reaction, typically consumes approximately 90% of the electricity input, necessitating the development of an efﬁcient OER for energy-saving purposes. Herein, we developed a unique heterostructure of multi-double (bi)-shelled Co-based spheres via a facile template-free method, in which each bi-shelled structure is composed of Co9Se8/Co9S8/CoO (Co-S-Se) with a symmetric conﬁguration. These heterogeneous nanospheres possess both sufﬁcient heterointerfaces and a high density of active sites and exhibit excellent OER activity in alkaline media with a low overpotential of 226 mV at 10 mA cm−2, a small Tafel slope of 46.5 mV dec−1, and long-term durability over 15 h. As a proof and concept, when coupled with a cathodic CO2 reduction reaction, the electrochemical performance of Pd nanosheets (NSs) for CO2 reduction can be signiﬁcantly enhanced in terms of product selectivity and energy input. Our study might provide insight into the development of efﬁcient OER electrocatalysts for practical CO2 reduction reactions.",Co-S-Se,glassy carbon,1 M KOH,226.0,10.0,1.0
10.1038/srep43590,Effective_Construction_of_High-quality_Iron_Oxy-hydroxides_a.pdf,"Rational design of high efficient and low cost electrocatalysts for oxygen evolution reaction (OER) plays an important role in water splitting. Herein, a general gelatin-assisted wet chemistry method is employed to fabricate well-defined iron oxy-hydroxides and transitional metal doped iron oxyhydroxides nanomaterials, which show good catalytic performances for OER. Specifically, the Co-doped iron oxy-hydroxides (Co0.54Fe0.46OOH) show the excellent electrocatalytic performance for OER with an onset potential of 1.52 V, tafel slope of 47 mV/dec and outstanding stability. The ultrahigh oxygen evolution activity and strong durability, with superior performance in comparison to the pure iron oxyhydroxide (FeOOH) catalysts, originate from the branch structure of Co0.54Fe0.46OOH on its surface so as to provide many active edge sites, enhanced mass/charge transport capability, easy release oxygen gas bubbles, and strong structural stability, which are advantageous for OER. Meanwhile, Co-doping in FeOOH nanostructures constitutes a desirable four-electron pathway for reversible oxygen evolution and reduction, which is potentially useful for rechargeable metal−air batteries, regenerative fuel cells, and other important clean energy devices. This work may provide a new insight into constructing the promising water oxidation catalysts for practical clean energy application. Nowadays, the urgent demands of clean energy have been stirred up in the exploration of sustainable energy production with high efficiency, low cost, and environmental benignity1–4. Water splitting, which could develop energy storage and conversion devices, has been recognized as one of the key technological candidates to meet the ever-growing sustainable energy demands. However, the efficiency of economical water splitting is under restriction mostly due to the high overpotential interrelated to the occurrence of oxygen evolution reaction (OER). Despite of recent advances in the utilization of various nanostructured catalysts, such as commonly used noble metal Ru and Ir-based nanocatalysts, the exploration of novel catalysts with low cost and high activities to enhance the OER efficiency still remains a big challenge. In the past few decades, many efforts have been made to solve this challenge by using transitional metals with low cost such as Fe, Co and Ni-based catalysts to substitute noble metal nanocatalysts to expedite OER",Co0.54Fe0.46OOH,glassy carbon,,390.0,10.0,0.9
10.1038/s41598-025-92720-3,In-depth_analysis_of_FeNi-based_nanoparticles_for_the_oxygen.pdf,"In-depth analysis of FeNi-based nanoparticles for the oxygen evolution reaction Heydar Habibimarkani, Sarah-Luise Abram, Ana Guilherme Buzanich, Carsten Prinz, Mario Sahre, Vasile-Dan Hodoroaba & Jörg Radnik This study investigates the effect of varying iron-to-nickel ratios on the catalytic performance of Fe-Ni oxide nanoparticles (NPs) for the oxygen evolution reaction (OER). Addressing the issue of high energy wastage due to large overpotentials in OER, we synthesized and characterized different NP catalysts with different Fe: Ni oxide ratios. Transmission Electron Microscopy (TEM), Energy Dispersive X-ray Spectroscopy (EDS), and X-ray Diffraction (XRD) were employed to determine the morphology, elemental and phase composition of the NPs. Furthermore, in-depth profiling with X-ray Photoelectron Spectroscopy (XPS) and Hard X-ray Photoelectron Spectroscopy (HAXPES) revealed that iron predominantly exists as oxide, while nickel exhibits both metallic and oxidic forms depending on the Fe content. XPS indicated an enrichment of iron at the NP surface, whereas HAXPES and EDS data agreed on the bulk stoichiometry. The assessment of the catalytic activity via cyclic voltammetry (CV) showed that the Fe: Ni ratio of 2:3 exhibited superior performance, characterized by lower overpotential and a smaller Tafel slope. The rising energy demand and the depletion of natural resources have initiated a revolutionary era centered on finding earth-abundant energy alternatives and creating efficient energy storage devices. The recent surge in climate change underscores the need for extensive research into carbon-neutral and efficient energy solutions1–4. Hydrogen is recognized as a clean, renewable fuel free of carbon, which can be produced through electrochemical water splitting that can solve this problem5. Water splitting comprises two half-reactions: hydrogen evolution reaction (HER) at the cathode, oxygen evolution reaction (OER) at the anode. However, the overall reaction efficiency is limited. A major challenge is the slow kinetics of the four-electron OER, which",NiFe2O4 nanorods,glassy carbon,1 M KOH,342.0,10.0,1.0
10.1038/s41598-021-04347-9,3D-printed_NiFe-layered_double_hydroxide_pyramid_electrodes_.pdf,"Electrochemical water splitting has been considered one of the most promising methods of hydrogen production, which does not cause environmental pollution or greenhouse gas emissions. Oxygen evolution reaction (OER) is a significant step for highly efficient water splitting because OER involves the four electron transfer, overcoming the associated energy barrier that demands a potential greater than that required by hydrogen evolution reaction. Therefore, an OER electrocatalyst with large surface area and high conductivity is needed to increase the OER activity. In this work, we demonstrated an effective strategy to produce a highly active three-dimensional (3D)-printed NiFelayered double hydroxide (LDH) pyramid electrode for OER using a three-step method, which involves direct-ink-writing of a graphene pyramid array and electrodeposition of a copper conducive layer and NiFe-LDH electrocatalyst layer on printed pyramids. The 3D pyramid structures with NiFe-LDH electrocatalyst layers increased the surface area and the active sites of the electrode and improved the OER activity. The overpotential (η) and exchange current density (i0) of the NiFe-LDH pyramid electrode were further improved compared to that of the NiFe-LDH deposited Cu (NiFe-LDH/Cu) foil electrode with the same base area. The 3D-printed NiFe-LDH electrode also exhibited excellent durability without potential decay for 60 h. Our 3D printing strategy provides an effective approach for the fabrication of highly active, stable, and low-cost OER electrocatalyst electrodes. Hydrogen is a promising and ideal fuel to replace fossil fuels because of its high energy density and pollutionfree energy conversion characteristics. Although several methods have been developed for efficient hydrogen production, hydrogen generation from the separation of water into oxygen and hydrogen by electrochemical water splitting has been considered one of the most promising methods for clean and renewable energy production with no environmental pollution effects or greenhouse gas ­emissions1–4. Water splitting includes two half reactions, oxygen evolution reaction (OER, ­4OH−→ ­O2 + ­2H2O + ­4e−) and hydrogen evolution reaction (HER, ­2H2O + ­2e−→ ­2OH− + ­H2) in alkaline media, which occur simultaneously at the anode and the ­cathode5–7. The standard reduction potential of the HER is defined as 0 V related to a relative hydrogen electrode (RHE), and the standard oxidation potential of the OER is 1.23 V (vs. RHE) at 25 °C and 1 ­atm8. Some factors related to the materials and devices (e.g., electrode morphology and conductivity, electrolyte diffusion blockage, bubble formation, and release) result in an additional potential over the standard one, which is called the overpotential (η). Determining suitable processing parameters that can greatly decrease the η value and consequently promote",NiFe-LDH,foil,1 M KOH,258.0,10.0,1.0
10.1038/s41598-024-75605-9,Novel_synthesis_of_CuHCFB-rGO_composites_for_oxygen_evolutio.pdf,"In this work, we have focused on the preparation of copper hexacyanoferrate/boron doped rGO composites (abbreviated as CuHCF/B-rGO) by employing simple co-precipitation technique subsequently processed with ultrasonication method. The XRD spectra confirmed the existence of the cubic structure of copper hexacyanoferrate with high crystalline peaks. The prepared nanocomposite morphology was evaluated by scanning electron microscopy (SEM), and confirmed CuHCF nanoparticles formation with flake-like and wrinkled sheets. Pure CuHCF nanostructures revealed good OER action at 430 mV to obtain 10 mA/cm2. The obtained CuHCF product OER activity can be further upgraded by incorporating the electrically conductive boron doped reduced graphene oxide matrix into CuHCF nanostructures, for the reason that the overpotential of the CuHCF/B-rGO was reduced to 380 mV to attain 10 mA/cm2 with 88 mV/dec Tafel slope value. The doping of heteroatom considerably",CoHCF,foam,1 M KOH,274.0,10.0,1.0
10.1038/s42004-020-00406-w,Hexadecyltrimethylammonium_hydroxide_promotes_electrocatalyt.pdf,"The oxygen evolution reaction is an essential factor in many renewable energy technologies, such as water splitting, fuel cells, and metal–air batteries. Here we show a unique solution to improve the oxygen evolution reaction rate by adjusting the electrolyte composition via the introduction of hexadecyltrimethylammonium hydroxide into an alkaline electrolyte. The strong adsorption of hexadecyltrimethylammonium cations on the surface of electrocatalysts provides the increased absolute number of OH−ions near the electrocatalyst surface, which effectively promotes the oxygen evolution reaction performance of electrocatalysts, such as Fe1−yNiyS2@Fe1−xNixOOH microplatelets and SrBaNi2Fe12O22 powders. Meanwhile, we present an electrochemical conditioning approach to engineering the electrochemically active surface area of electrocatalysts, by which the resultant Fe1−yNiyS2@Fe1−xNixOOH microplatelets have a larger electrochemically active surface area after the electrochemical conditioning of the as-synthesized Fe1−yNiyS2 microplatelets using ammonia borane than those obtained after the conventional electrochemical conditioning without ammonia borane, presumably due to the appropriate conversion rate of Fe1−xNixOOH shells. https://doi.org/10.1038/s42004-020-00406-w OPEN",Fe1,foam,0.1 M KOH,292.0,50.0,1.0
10.1038/s41598-025-95130-7,Machine_learning_assisted_Co3O4NiO_popsicle_sticks-infused_e.pdf,"Wide range of noble metal free bimetallic and trimetallic based electrocatalysts have been synthesized to develop efficient oxygen evolution reaction (OER) systems to-date, however, to determine which metal part of bimetallic and trimetallic electrocatalysts plays a significant role in controlling OER efficacy remains very challenging. To address this issue, herein we have employed machine learning (ML) for the first time to determine OER efficacy controlling metal element, thus leading to the development of an optimized bimetallic electrocatalyst. Briefly, we have designed a novel, simple ML optimized sustainable OER electrocatalyst based on Co3O4/NiO popsicle sticks (CNPS) infused polyaniline/cellulose acetate (a biopolymer) (PNCA) electrospun nanofibers supported on nickel foam (NF). ML optimized CNPS infused PNCA (CNPS@PNCA) electrode offers maximum and homogenous exposition of active sites and shows high OER activity by exhibiting low onset potential (1.41 V vs. RHE), overpotential (237 mV at 10 mA cm−2) and Tafel slope of 62.1 mV dec−1. Additionally, it shows a better stability of more than 100 h and is consistent with the reported literature. Keywords Renewable energy, Oxygen evolution reaction, Water splitting, Co3O4/NiO popsicle sticks, Machine learning, Electrospinning Energy plays a crucial part in the advancement of a nation’s economy, the quality of life, the improvement of infrastructure, and the facilitation of trade. There’s an imperative need for the implementation of novel reforms aimed at augmenting energy production and storage capacities to adequately address the escalating future energy requirements1. At present, fossil fuels are utilized as the predominant method to meet the increasing energy demands in diverse industrial sectors. Nevertheless, the unregulated and widespread utilization of fossil fuels has propelled our planet into a disconcerting condition characterized by a substantial escalation",CNPS@PNCA,nickel foam,1 M KOH,237.0,10.0,1.0
10.1038/srep07629,Graphene-Co3O4nanocomposite_as_electrocatalyst_with_high_per.pdf,"Graphene-Co3O4 composite with a unique sandwich-architecture was successfully synthesized and applied as an efficient electrocatalyst for oxygen evolution reaction. Field emission scanning electron microscopy (FESEM) and transmission electron microscopy (TEM) analyses confirmed that Co3O4 nanocrystals were homogeneously distributed on both sides of graphene nanosheets. The obtained composite shows enhanced catalytic activities in both alkaline and neutral electrolytes. The onset potential towards the oxygen evolution reaction is 0.406 V (vs. Ag/AgCl) in 1 M KOH solution, and 0.858 V (vs. Ag/AgCl) in neutral phosphate buffer solution (PBS), respectively. The current density of 10 mA/cm2 has been achieved at the overpotential of 313 mV in 1 M KOH and 498 mV in PBS. The graphene-Co3O4 composite also exhibited an excellent stability in both alkaline and neutral electrolytes. In particular, no obvious current density decay was observed after 10 hours testing in alkaline solution and the morphology of the material was well maintained, which could be ascribed to the synergistic effect of combining Co3O4 and graphene. S olar-driven electrochemical transformation of small molecules, such as water splitting and carbon dioxide",Ag/AgCl,foam,1 M KOH,313.0,10.0,1.0
10.1038/s41598-020-71389-w,Synergistic_effects_in_bimetallic_PdCoO_electrocatalytic_thi.pdf,"Bimetallic catalysts due to the synergistic effects often outperform their single-component counterparts while exhibiting structure and composition-dependent enhancement in active sites, thereby having the potential to improve the current density and over-potential parameters in the water oxidation reaction. Herein, we demonstrate a simple and rapid, yet highly efficient method to fabricate Pd–CoO films of immaculate homogeneity as characterized using different imaging and spectroscopic techniques. The SEM images revealed that the films were composed of bimetallic spherical granules wherein both metals were uniformly distributed in an atomic ratio of ~ 1:1. The time-dependent investigations of the film fabrication behavior demonstrated that the films formed in shorter deposition times (1–2 h) display more porous character, allowing better access to the reaction centers. This character was transcribed into their enhanced electrocatalytic performance toward the oxygen evolution reaction (OER). Using this specific bimetallic formulation, we could attain a low over-potential of 274 mV for a current density of 10 mA cm−2, whereas the high current density value of > 200 mA cm−2 was achieved while still under 600 mV of over-potential. The cycling and current generation stability was also found to be sufficiently high, which can only be attributed to the facile electron transfer processes and a higher number of active sites available in homogeneous bimetallic films. Electrocatalytic water oxidation is an extensively studied reaction due to its importance in industrial water splitting for hydrogen-based ­economy1. Such a non-reliance on fossil fuels can enforce a change towards a more sustainable society with a lesser burden of pollution on the climate. However, this anodic reaction is a limiting factor in the large scale electrolysis of ­water2. The process includes four proton-coupled electron transfers and two oxygen atoms bonding together, making it electrochemically sluggish because of high energy ­demands3. The result is the high over-potentials, and low current densities, whereas the target is to achieve an industrial standard current density of more than 100 mA cm−2 with the least over-potential ­possible4. Thus, the materials with the",Pd-CoO,foam,0.1 M KOH,274.0,10.0,1.0
10.1038/s42004-023-01024-y,Reporting_activities_for_the_oxygen_evolution_reaction.pdf,"Reporting activities for the oxygen evolution reaction Marcel Risch 1✉ The oxygen evolution reaction (OER) is a key enabler of sustainable chemical energy storage. Here, the author assesses the current status of protocols for benchmarking the OER in materialsand device-centered investigations and makes suggestions for more comparable data. Signiﬁcance of the oxygen evolution reaction Sustainable, climate-friendly, alternatives to fossil resources are needed to meet the needs of the energy and chemical sectors. Precursor feeds of non-potable water1 and in some cases aqueous nitrogen or carbon dioxide could be electrochemically reacted to sustainably produce many key fuels and valuable chemicals from renewable sources used in devices such as electrolyzers or photoelectrochemical cells (Fig. 1). The water oxidation reaction (WOR) or oxygen evolution reaction (OER) at the anode takes a pivotal role in this approach as it provides the protonated ions for the reduction of precursors at the cathode to the desired fuel or chemical. Four electrons and ions need to be transferred to make O2 from 2H2O (or 4OHin alkaline media), at the cost of large overpotential at the fuelor chemical-producing cathode. Additionally, the needed high potentials to drive the OER may degrade various electrode components2. Therefore, the identiﬁcation of stable and active electrocatalysts for the OER has received considerable interest in the last decades. While stability and activity are both important and usually linked, this Comment focuses on reporting the activity of OER electrocatalysts in the context of the most mature ﬁeld of water electrolysis and in particular the issue of comparability among reported activities in current benchmarking studies. Benchmarking protocols Bligaard et al.3 deﬁne benchmarking in catalysis as a “community-based and (preferably) community-driven activity involving consensus-based decisions on how to make reproducible, fair, and relevant assessments […] between new and standard catalysts”. Building on the latter",O2 n/a,carbon paper,,100.0,10.0,0.9
10.1038/s41467-026-69124-6,Dynamic_chromium_dopant_promotes_interfacial_water_activatio.pdf,"Although cobalt spinel oxide-based catalysts have demonstrated promising performance for the oxygen evolution reaction in acid, strategies reported have largely focused on manipulating the binding energies of reaction intermediates through tailoring the inherent electronic structures. The role of interfacial water structures on the electrode surface in promoting the acidic oxygen evolution reaction performance through controlled water activation has been largely overlooked. Here we show that introducing chromium dopant into cobalt spinel oxide can simultaneously increase the activity and stability by promoting interfacial water dissociation and dynamic electron transfer. The chromium dopant can not only dynamically regulate the electronic structure of cobalt and mitigate the over-oxidation of active cobalt sites at high overpotential, but also enhance the coverage of hydroxyl species on the catalyst surface, thereby optimizing the interfacial water structure, accelerating the reactant free-water supply and promoting subsequent interfacial water dissociation. Consequently, the obtained catalyst demonstrates enhanced performance in both solution electrocatalysis and device electrocatalysis. This work provides a comprehensive understanding of enhancing the acidic oxygen evolution reaction performance by promoting interfacial water dissociation. The proton exchange membrane water electrolyzer (PEMWE) can effectively harness the intermittency and instability of renewable energy sources, making its widespread application vital for the development of green hydrogen production1–4. Nevertheless, the complex proton-coupled electron transfer process and harsh reaction environment in the anodic oxygen evolution reaction (OER) lead to the strong dependence on precious metal catalysts (IrO2), whose active",Cr-Co3O4,foil,0.5 M H2SO4,358.0,10.0,1.0
10.1038/s41467-021-23390-8,Modifying_redox_properties_and_local_bonding_of_Co3O4by_CeO2.pdf,"Developing efﬁcient and stable earth-abundant electrocatalysts for acidic oxygen evolution reaction is the bottleneck for water splitting using proton exchange membrane electrolyzers. Here, we show that nanocrystalline CeO2 in a Co3O4/CeO2 nanocomposite can modify the redox properties of Co3O4 and enhances its intrinsic oxygen evolution reaction activity, and combine electrochemical and structural characterizations including kinetic isotope effect, pHand temperature-dependence, in situ Raman and ex situ X-ray absorption spectroscopy analyses to understand the origin. The local bonding environment of Co3O4 can be modiﬁed",Co3O4/CeO2,carbon paper,0.5 M H2SO4,347.0,10.0,1.0
10.1038/s41467-023-40011-8,Potential-dependent_transition_of_reaction_mechanisms_for_ox.pdf,"Potential-dependent transition of reaction mechanisms for oxygen evolution on layered double hydroxides Zeyu Wang 1, William A. Goddard III2 & Hai Xiao",S3a,,,365.0,0.0,0.7
10.1038/s41467-025-67439-4,Substrate-adaptive_sacrificial_corrosion_strategy_enables_70.pdf,"Seawater electrolysis for hydrogen production offers a sustainable solution to the energy crisis and freshwater scarcity. The presence of chloride ions triggers competitive chlorine oxidation at the anode, which rivals the oxygen evolution reaction and leads to pronounced reductions in overall efﬁciency and long-term stability. This challenge underscores the urgent need for highly efﬁcient, durable, and scalable anode materials to accelerate the transition of",,foam,10 M KOH,182.0,10.0,0.75
10.1038/s41467-026-69682-9,High-spin_transition_metal_atoms_drive_acidic_oxygen_evoluti.pdf,"Such spin occupancy breaks the spin-forbidden effect and optimizes the adsorption/desorption ability of HSS-CoOx/GDY toward key reaction intermediates, thereby promoting the coupling of O-O bonds and the evolution of oxygen gas. The proton exchange membrane water electrolyzers constructed based on this catalyst achieve a current density of 1.0 A cm−2 at a low cell voltage of 1.80 V. This research indicates that graphdiyne has the ability to manipulate the electronic spin states of electrocatalysts. The kinetic bottleneck of the anodic oxygen evolution reaction (OER) is reﬂected in proton exchange membrane water electrolyzers (PEMWEs), which is confronted with the sluggish four-electron transfer kinetics and the strong reliance on rare and precious metal catalysts such as iridium oxide (IrO2) and ruthenium dioxide (RuO2)1–4, which have always been difﬁcult technical issues to overcome in this ﬁeld and suppressed the rapid progress of OER technology. For many years, scientists have made tremendous efforts to achieve the replacement of precious metal catalysts with transition metal (TM)-based materials, but the results have always been insigniﬁcant. The catalytic performance is fundamentally limited by the spin-forbidden effect of oxygen-containing intermediate5–7. Speciﬁcally, to satisfy angular momentum conservation (spin-allowed) during the OER process, the additional energy (~1.0 eV) is required to form the oxygen molecule (O2) with the singlet excited state (1Δu), subsequently transitions to the triplet ground state O2 (3Σg) (Supplementary Fig. 1)8. Some advanced catalysts attempted to modulate the d-orbital occupancy of the catalytically active centres through spin-state manipulation. An appropriate spin conﬁguration enables a reduction in the energy barrier of O-O coupling via Hund’s rule-driven parallel spin alignment, facilitating the direct coupling of O-O bond9–12. However, our anxiety is that among numerous non-precious metal systems, there is still no clear roadmap for simultaneously optimizing water dissociation (H-OH cleavage) and oxygen dimerization via spin-state control. After years of exploration, trivalent cobalt (Co3+), which is lowcost and abundant on Earth, has come into the view of scientists. This is because Co3+ has a relatively high intrinsic OER activity, and becomes a",HSS-CoOx/GDY,carbon cloth,0.5 M H2SO4,221.0,10.0,1.0
10.1038/s41467-024-55150-9,Breaking_linear_scaling_relationships_in_oxygen_evolution_vi.pdf,"The universal linear scaling relationships between the adsorption energies of reactive intermediates limit the performance of catalysts in multi-step catalytic reactions. Here, we show how these scaling relationships can be circumvented in electrochemical oxygen evolution reaction by dynamic structural regulation of active sites. We construct a model Ni-Fe2 molecular catalyst via in situ electrochemical activation, which is able to deliver a notable intrinsic oxygen evolution reaction activity. Theoretical calculations and electrokinetic studies reveal that the dynamic evolution of Ni-adsorbate coordination driven by intramolecular proton transfer can effectively alter the electronic structure of the adjacent Fe active centre during the catalytic cycle. This dynamic dual-site cooperation simultaneously lowers the free energy change associated with O–H bond cleavage and O–O bond formation, thereby disrupting the inherent scaling relationship in oxygen evolution reaction. The present study not only advances the development of molecular water oxidation catalysts, but also provides an unconventional paradigm for breaking the linear scaling relationships in multi-intermediates involved catalysis. For multi-step catalytic reactions, it has been shown that the adsorption energies of different intermediates are correlated on conventional single-site catalysts by linear scaling relationships (LSRs)1,2. While LSRs simplify the prediction of catalyst performance and help elucidate catalytic activity trends, they inevitably place intrinsic limitations on optimally adjusting adsorption of every intermediate on the catalytic site simultaneously to achieve the maximum activity and/or selectivity2–4. A case in point of this correlation-imposed reaction is the electrochemical oxygen evolution reaction (OER), which serves as an ideal anodic reaction by",Fe1ppm-Ni-SAs@GNM,mesh,1 M KOH,282.0,10.0,1.0
10.1038/s41467-023-37597-4,Lamella-heterostructured_nanoporous_bimetallic_iron-cobalt_a.pdf,"Developing robust nonprecious-metal electrocatalysts with high activity towards sluggish oxygen-evolution reaction is paramount for large-scale hydrogen production via electrochemical water splitting. Here we report that self-supported laminate composite electrodes composed of alternating nanoporous bimetallic iron-cobalt alloy/oxyhydroxide and cerium oxynitride (FeCo/CeO2−xNx) heterolamellas hold great promise as highly efﬁcient electrocatalysts for alkaline oxygen-evolution reaction. By virtue of threedimensional nanoporous architecture to offer abundant and accessible electroactive CoFeOOH/CeO2−xNx heterostructure interfaces through facilitating electron transfer and mass transport, nanoporous FeCo/CeO2−xNx composite electrodes exhibit superior oxygen-evolution electrocatalysis in 1 M KOH, with ultralow Tafel slope of ~33 mV dec−1. At overpotential of as low as 360 mV, they reach >3900 mA cm−2 and retain exceptional stability at ~1900 mA cm−2 for >1000 h, outperforming commercial RuO2 and some representative oxygenevolution-reaction catalysts recently reported. These electrochemical properties make them attractive candidates as oxygen-evolution-reaction electrocatalysts in electrolysis of water for large-scale hydrogen generation. Electrochemical water splitting powered by renewable electricity from plentiful solar and wind resources is an attractive energy conversion technology for clean and large-scale hydrogen production1–4. It promises an environmentally friendly energy framework of water cycle by making use of molecular hydrogen (H2) as a clean and high-density energy carrier to meet future global energy needs4–7. However, water electrolysis no matter in alkaline water electrolyzers or protonexchange-membrane water electrolyzers persistently undergoes a low energy efﬁciency primarily due to sluggish kinetics of oxygen evolution reaction (OER) and insufﬁcient activity of state-of-the-art OER electrocatalysts8–10. This dilemma persecutes widespread implementation of electrochemical water-splitting technologies, especially for mass production of H2 in industry, where they are required to deliver high current densities of >500 mA cm−2 at a low overpotential",FeCo/CeO2,nickel foam,1 M KOH,360.0,2.55,1.0
10.1038/s41467-025-62258-z,4f-modified_Ru-O_polarity_as_a_descriptor_for_efficient_elec.pdf,"The development of non-iridium-based oxygen evolution reaction (OER) catalysts is crucial for proton exchange membrane water electrolysis (PEMWE), but hydrogen production remains a great challenge because of sluggish OER kinetics and severe catalyst dissolution. Here, we present a 4f-induced covalent",Nd-RuO2,foil,0.1 M HCLO4,214.0,10.0,1.0
10.1038/s41467-026-68730-8,Defect-interface_coupling_for_stable_lattice-oxygen-driven_o.pdf,"For industrial water electrolysis, the development of active and stable catalysts for the oxygen evolution reaction remains a challenge. Here, we report a heterostructure catalyst composed of NiFe layered double hydroxide nanosheets anchored on pyramidal Fe2(MoO4)3 to activate lattice oxygen for efﬁcient and durable oxygen evolution. Our investigation reveals that oxygen vacancies within the NiFe layered double hydroxide and the internal electrical ﬁeld at the material interface optimize the electronic states, allowing oxygen atoms within the crystal lattice to participate directly in the reaction. The resulting heterostructured NiFe LDH/FeMoO catalysts possess high oxygen evolution reaction activity in 1 M KOH electrolyte with a low overpotential of",LDH/FeMoO,nickel foam,1 M KOH,316.0,1000.0,1.0
10.1038/s41467-021-26307-7,Boride-derived_oxygen-evolution_catalysts.pdf,"Metal borides/borates have been considered promising as oxygen evolution reaction catalysts; however, to date, there is a dearth of evidence of long-term stability at practical current densities. Here we report a phase composition modulation approach to fabricate effective borides/borates-based catalysts. We ﬁnd that metal borides in-situ formed metal borates are responsible for their high activity. This knowledge prompts us to synthesize NiFe-Boride, and to use it as a templating precursor to form an active NiFe-Borate catalyst. This boride-derived oxide catalyzes oxygen evolution with an overpotential of 167 mV at 10 mA/cm2 in 1 M KOH electrolyte and requires a record-low overpotential of 460 mV to maintain water splitting performance for over 400 h at current density of 1 A/cm2. We couple the catalyst with CO",NiFe-Borate,foam,1 M KOH,167.0,10.0,1.0
10.1038/s41467-025-64857-2,Surface_sulfonic-group_bonded_oxygen_evolution_catalyst_for_.pdf,"Proton transport plays a crucial role in acidic oxygen evolution reaction process. Iridium oxide (IrOx) exhibits good stability, yet its catalytic activity remains insufﬁcient at high current density. Trace sulfonates introduced into electrocatalysts can enhance the proton transfer process; however, their signiﬁcant leaching compromises catalyst stability. Herein, we report a sulfonic groups ( −SO3H) grafted catalyst, Ir/IrOx ~ SO3H, featuring covalent bonding between sulfonic groups and iridium oxide. The anchored sulfonic groups facilitate enhancing the proton transfer process and promote the formation of *OOH intermediates, thereby accelerating the oxygen evolution reaction kinetics. A proton exchange membrane water electrolysis assembled with an Ir/IrOx ~ SO3H anode needs a cell voltage of only 1.75 V at 3.0 A cm−2 and stably operates over 1000 h without leaching of sulfonic groups, outperforming a water electrolysis assembled with a commercial iridium oxide anode in activity. Moreover, the elevated surface potential of catalyst particles alleviates their agglomeration, which is beneﬁt to the industrial membrane electrode preparation. The strong bonding strategy holds promise for advancing the development of sulfonates-grafted catalysts in energy conversion applications. Proton exchange membrane water electrolysis (PEMWE) has attracted global attention and is one of the most viable technologies for producing green hydrogen using intermittent renewable energy and ﬁnally realizing carbon neutrality1–3. PEMWE is superior to its competitors (e.g., alkaline water electrolysis), due to its high current density, ultra-high-purity hydrogen, low ohmic losses, compact stack design, easy maintenance and quick startup/shutdown4–6. Up to now, iridium oxide (IrOx) has been the most pivotal electrocatalyst for the oxygen evolution reaction (OER)7–10. Although IrOx is the truly commercially available catalyst and exhibits the highest stability among other catalysts, its intrinsic catalytic activity is still insufﬁcient under operational",SO3H,carbon paper,0.5 M H2SO4,259.0,10.0,1.0
10.1038/s41467-023-42696-3,One-atom-thick_hexagonal_boron_nitride_co-catalyst_for_enhan.pdf,"Developing efﬁcient (co-)catalysts with optimized interfacial mass and charge transport properties is essential for enhanced oxygen evolution reaction (OER) via electrochemical water splitting. Here we report one-atom-thick hexagonal boron nitride (hBN) as an attractive co-catalyst with enhanced OER efﬁciency. Various electrocatalytic electrodes are encapsulated with centimeter-sized hBN ﬁlms which are dense and impermeable so that only the hBN surfaces are directly exposed to reactive species. For example, hBN covered Ni-Fe (oxy) hydroxide anodes show an ultralow Tafel slope of ~30 mV dec−1 with improved reaction current by about 10 times, reaching ~2000 mA cm−2 (at an overpotential of ~490 mV) for over 150 h. The mass activity of hBN co-catalyst is found exceeding that of commercialized catalysts by up to ﬁve orders of magnitude. Using isotope experiments and simulations, we attribute the results to the adsorption of oxygen-containing intermediates at the insulating co-catalyst, where localized electrons facilitate the deprotonation processes at electrodes. Little impedance to electron transfer is observed from hBN ﬁlm encapsulation due to its ultimate thickness. Therefore, our work also offers insights into mechanisms of interfacial reactions at the very ﬁrst atomic layer of electrodes. Water electrolysis is a sustainable and clean strategy to convert electrical energy into chemical fuels, but its efﬁciency is considered to be limited by the oxygen evolution reaction (OER) at anodes with respect",Ni-Fe,foil,1 M KOH,230.0,10.0,1.0
