doi,source_pdf,title,abstract,material,substrate,electrolyte,overpotential_mV,current_density,confidence,extraction_note,anchor_found,anchor_sentence
10.1038/s41598-025-92720-3,In-depth_analysis_of_FeNi-based_nanoparticles_for_the_oxygen.pdf,In-depth analysis of FeNi-based nanoparticles for the oxygen evolution reaction,"In-depth analysis of FeNi-based nanoparticles for the oxygen evolution reaction Heydar Habibimarkani, Sarah-Luise Abram, Ana Guilherme Buzanich, Carsten Prinz, Mario Sahre, Vasile-Dan Hodoroaba & Jörg Radnik This study investigates the effect of varying iron-to-nickel ratios on the catalytic performance of Fe-Ni oxide nanoparticles (NPs) for the oxygen evolution reaction (OER). Addressing the issue of high energy wastage due to large overpotentials in OER, we synthesized and characterized different NP catalysts with different Fe: Ni oxide ratios. Transmission Electron Microscopy (TEM), Energy Dispersive X-ray Spectroscopy (EDS), and X-ray Diffraction (XRD) were employed to determine the morphology, elemental and phase composition of the NPs. Furthermore, in-depth profiling with X-ray Photoelectron Spectroscopy (XPS) and Hard X-ray Photoelectron Spectroscopy (HAXPES) revealed that iron predominantly exists as oxide, while nickel exhibits both metallic and oxidic forms depending on the Fe content. XPS indicated an enrichment of iron at the NP surface, whereas HAXPES and EDS data agreed on the bulk stoichiometry. The assessment of the catalytic activity via cyclic voltammetry (CV) showed that the Fe: Ni ratio of 2:3 exhibited superior performance, characterized by lower overpotential and a smaller Tafel slope. The rising energy demand and the depletion of natural resources have initiated a revolutionary era centered on finding earth-abundant energy alternatives and creating efficient energy storage devices. The recent surge in climate change underscores the need for extensive research into carbon-neutral and efficient energy solutions1–4. Hydrogen is recognized as a clean, renewable fuel free of carbon, which can be produced through electrochemical water splitting that can solve this problem5. Water splitting comprises two half-reactions: hydrogen evolution reaction (HER) at the cathode, oxygen evolution reaction (OER) at the anode. However, the overall reaction efficiency is limited. A major challenge is the slow kinetics of the four-electron OER, which",NiFe2O4 nanorods,glassy carbon,1 M KOH,342,10,1.0,complete,True,"For instance, Liu et al. reported using mesoporous 1D NiFe2O4 as an electrode material for OER studies and found that NiFe2O4 nanorods with a surface area of 165.9 m2/g exhibited an overpotential of 342 mV at 10 mA/cm2 with a Tafel slope of 44 mV/dec31."
10.1038/s41467-025-58842-y,Water_flipping_and_the_oxygen_evolution_reaction_on_Fe2O3nan.pdf,Water ﬂipping and the oxygen evolution,"Hematite photoanodes are promising for the oxygen evolution reaction, however, their high overpotential (0.5-0.6 V) for water oxidation and limited photocurrent make them economically unviable at present. The work needed to orient dipoles at an electrode surface may be an overlooked contribution to the overpotential, especially regarding dipoles of water, the electron source in the oxygen evolution reaction (OER). Here, we employ second harmonic amplitude and phase measurements to quantify the number of net-aligned Stern layer water molecules and the work associated with water ﬂipping, on hematite, an earth abundant OER semiconductor associated with a high overpotential. At zero applied bias, the pH-dependent potentials for Stern layer water molecule ﬂipping exhibit Nernstian behavior. At positive applied",0.5-0.6 V,fluorine-doped tin oxide,,,,0.45,material_without_anchor,False,
10.1038/s41598-023-49836-1,Application_of_response_surface_methodology_for_optimization.pdf,"Currently, high-surface-area and nano-sized Iridium Oxide ­(IrO2), achieving a maximum current density of","OER with reusability potential. Due to the exponential growth of population, increasing energy demand, and the limitation of non-renewable energy sources, research into finding renewable and environmentally-friendly energy alternatives, such as hydrogen, has become ­widespread1–4. Clean energy production processes, including electrochemical water",IrO2,glassy carbon,0.665 M KOH,,,0.55,material_without_anchor,False,
10.1038/s41699-021-00249-6,Postsynthetic_treatment_of_nickeliron_layered_double_hydroxi.pdf,OPEN Postsynthetic treatment of nickel–iron layered double hydroxides for the optimum catalysis of the oxygen evolution reaction,"Nickel–iron-layered double hydroxide (NiFe LDH) platelets with high morphological regularity and submicrometre lateral dimensions were synthesized using a homogeneous precipitation technique for highly efﬁcient catalysis of the oxygen evolution reaction (OER). Considering edge sites are the point of activity, efforts were made to control platelet size within the synthesized dispersions. The goal is to controllably isolate and characterize size-reduced NiFe LDH particles. Synthetic approaches for size control of NiFe LDH platelets have not been transferable based on published work with other LDH materials and for that reason, we instead use postsynthetic treatment techniques to improve edge-site density. In the end, size-reduced NiFe LDH/single-wall carbon nanotube (SWCNT) composites allowed to further reduce the OER overpotential to 237 ± 7 mV (<L> = 0.16 ± 0.01 μm, 20 wt% SWCNT), which is one of the best values reported to date. This approach as well improved the long-term activity of the catalyst in operating conditions.",NiFe LDH,nickel foam,,,,0.45,material_without_anchor,False,
10.1038/s41598-022-06608-7,On_a_high_photocatalytic_activity_of_high-noble_alloys_AuAgT.pdf,"conduction band (CB), contributing to the competent charge separation and the photocatalytic reduction in","The analysis via density functional theory was employed to understand high photocatalytic activity found on the Au–Ag high-noble alloys catalysts supported on rutile ­TiO2 during the oxygen evolution of water oxidation reaction (OER). It was indicated that the most thermodynamically stable location of the Au–Ag bimetal-support interface is the bridging row oxygen vacancy site. On the active region of the Au–Ag catalyst, the Au site is the most active for OER catalyzing the reaction with an overpotential of 0.60 V. Whereas the photocatalytic activity of other active sites follows the trend of Au > Ag > Ti. This finding evident from the projected density of states revealed the formation of the trap state that reduces the band gap of the catalyst promoting activity. In addition, the Bader charge analysis revealed the electron relocation from Ag to Au to be the reason behind the activity of the bimetallic that exceeds its monometallic counterparts. In the current era, solar energy is confined for practical reasons and has increased the attention of both academia and industrial sectors. The essential worldwide goal of solar energy is to create electricity, and it is prospective to generate fuels from the waste of ­CO2 and ­H2O by induction of solar photochemistry. In the past 40 years, heterogeneous photocatalysis and photochemistry fields have developed comprehensively in return to demanding energy and environmental ­issues1–8. One of the most capable solutions for the energy problem is photocatalytic",TiO2,,,,,0.25,material_without_anchor,False,
10.1038/s41598-021-04347-9,3D-printed_NiFe-layered_double_hydroxide_pyramid_electrodes_.pdf,approach for improving the performance of water electrolysis is to increase the total electrocatalyst–electrolyte interfacial active area by using a three-dimensional (3D) geometrical electrode coated with rational nanostruc-,"Electrochemical water splitting has been considered one of the most promising methods of hydrogen production, which does not cause environmental pollution or greenhouse gas emissions. Oxygen evolution reaction (OER) is a significant step for highly efficient water splitting because OER involves the four electron transfer, overcoming the associated energy barrier that demands a potential greater than that required by hydrogen evolution reaction. Therefore, an OER electrocatalyst with large surface area and high conductivity is needed to increase the OER activity. In this work, we demonstrated an effective strategy to produce a highly active three-dimensional (3D)-printed NiFelayered double hydroxide (LDH) pyramid electrode for OER using a three-step method, which involves direct-ink-writing of a graphene pyramid array and electrodeposition of a copper conducive layer and NiFe-LDH electrocatalyst layer on printed pyramids. The 3D pyramid structures with NiFe-LDH electrocatalyst layers increased the surface area and the active sites of the electrode and improved the OER activity. The overpotential (η) and exchange current density (i0) of the NiFe-LDH pyramid electrode were further improved compared to that of the NiFe-LDH deposited Cu (NiFe-LDH/Cu) foil electrode with the same base area. The 3D-printed NiFe-LDH electrode also exhibited excellent durability without potential decay for 60 h. Our 3D printing strategy provides an effective approach for the fabrication of highly active, stable, and low-cost OER electrocatalyst electrodes. Hydrogen is a promising and ideal fuel to replace fossil fuels because of its high energy density and pollutionfree energy conversion characteristics. Although several methods have been developed for efficient hydrogen production, hydrogen generation from the separation of water into oxygen and hydrogen by electrochemical water splitting has been considered one of the most promising methods for clean and renewable energy production with no environmental pollution effects or greenhouse gas ­emissions1–4. Water splitting includes two half reactions, oxygen evolution reaction (OER, ­4OH−→ ­O2 + ­2H2O + ­4e−) and hydrogen evolution reaction (HER, ­2H2O + ­2e−→ ­2OH− + ­H2) in alkaline media, which occur simultaneously at the anode and the ­cathode5–7. The standard reduction potential of the HER is defined as 0 V related to a relative hydrogen electrode (RHE), and the standard oxidation potential of the OER is 1.23 V (vs. RHE) at 25 °C and 1 ­atm8. Some factors related to the materials and devices (e.g., electrode morphology and conductivity, electrolyte diffusion blockage, bubble formation, and release) result in an additional potential over the standard one, which is called the overpotential (η). Determining suitable processing parameters that can greatly decrease the η value and consequently promote",NiFe-LDH,foil,1 M KOH,258,10,1.0,complete,True,"­cm2, the 3D-printed pyramid electrode with a nanoparticle- based NiFe-LDH electrocatalyst had a relatively larger surface area, contributing to the increased number of active sites on the electrode. As a result, η and exchange current density (i0) of the NiFe-LDH pyramid electrode were 258 mV at 10 mA/cm2 and 0.818 μA/cm2, which were improved compared to those of the NiFe-LDH/Cu foil electrode."
10.1038/s41598-024-75605-9,Novel_synthesis_of_CuHCFB-rGO_composites_for_oxygen_evolutio.pdf,Novel synthesis of CuHCF/B-rGO composites for oxygen evolution reaction activity,"In this work, we have focused on the preparation of copper hexacyanoferrate/boron doped rGO composites (abbreviated as CuHCF/B-rGO) by employing simple co-precipitation technique subsequently processed with ultrasonication method. The XRD spectra confirmed the existence of the cubic structure of copper hexacyanoferrate with high crystalline peaks. The prepared nanocomposite morphology was evaluated by scanning electron microscopy (SEM), and confirmed CuHCF nanoparticles formation with flake-like and wrinkled sheets. Pure CuHCF nanostructures revealed good OER action at 430 mV to obtain 10 mA/cm2. The obtained CuHCF product OER activity can be further upgraded by incorporating the electrically conductive boron doped reduced graphene oxide matrix into CuHCF nanostructures, for the reason that the overpotential of the CuHCF/B-rGO was reduced to 380 mV to attain 10 mA/cm2 with 88 mV/dec Tafel slope value. The doping of heteroatom considerably",CoHCF,foam,1 M KOH,274,10,1.0,complete,True,"For example, Xiaojuan Zhang et al.16 synthesized cobalt hexacyanoferrate/carbon nanotube composites via simple co-precipitation approach for OER. They demonstrated that OER performance of CoHCF was greatly enhanced after the introduction of CNT, and they achieved the low overpotential of 274 mV@10 mA/cm2 for CoHCF/CNT, whereas the pure CoHCF only achieved the overpotential of 411 mV@10 mA/cm2."
10.1038/s42004-020-00406-w,Hexadecyltrimethylammonium_hydroxide_promotes_electrocatalyt.pdf,OPEN,"The oxygen evolution reaction is an essential factor in many renewable energy technologies, such as water splitting, fuel cells, and metal–air batteries. Here we show a unique solution to improve the oxygen evolution reaction rate by adjusting the electrolyte composition via the introduction of hexadecyltrimethylammonium hydroxide into an alkaline electrolyte. The strong adsorption of hexadecyltrimethylammonium cations on the surface of electrocatalysts provides the increased absolute number of OH−ions near the electrocatalyst surface, which effectively promotes the oxygen evolution reaction performance of electrocatalysts, such as Fe1−yNiyS2@Fe1−xNixOOH microplatelets and SrBaNi2Fe12O22 powders. Meanwhile, we present an electrochemical conditioning approach to engineering the electrochemically active surface area of electrocatalysts, by which the resultant Fe1−yNiyS2@Fe1−xNixOOH microplatelets have a larger electrochemically active surface area after the electrochemical conditioning of the as-synthesized Fe1−yNiyS2 microplatelets using ammonia borane than those obtained after the conventional electrochemical conditioning without ammonia borane, presumably due to the appropriate conversion rate of Fe1−xNixOOH shells. https://doi.org/10.1038/s42004-020-00406-w OPEN",Fe1,foam,0.1 M KOH,292,50,1.0,nonstandard_current_density,True,"he Fe1−yNiyS2@Fe1−xNixOOH/NF exhibits a much better catalytic activity than the Fe1−yNiyS2-ECC/NF, Fe1−yNiyS2/ NF, and RuO2/NF benchmark in both electrolytes because the OER on the former requires a lower η than the later three ones at the same j, especially at a large j. For example, to reach j of 50 mA cm−2 during the negative-going scan, which was adopted to eliminate the interference of oxidation waves from Ni species, the Fe1−yNiyS2@Fe1−xNixOOH/NF requires an η of 273 and 292 mV in KOH + HTAH and KOH alone, respectively (note that all the following values in different electrolytes will be given in"
10.1038/s41524-024-01273-y,Towards_atom-level_understanding_of_metal_oxide_catalysts_fo.pdf,Towards atom-level understanding of metal oxide catalysts for the oxygen evolution reaction with machine learning,"Green hydrogen production is crucial for a sustainable future, but current catalysts for the oxygen evolution reaction (OER) suffer from slow kinetics, despite many efforts to produce optimal designs, particularly through the calculation of descriptors for activity. In this study, we develop a dataset of density functional theory calculations of bulk and surface perovskite oxides, and adsorption energies of OER intermediates, which includes compositions up to quaternary and facets up to (555). We demonstrate that per-site properties of perovskite oxides such as Bader charge or band center can be tuned through element substitution and faceting, and develop a machine learning model that accurately predicts these properties directly from the local chemical environment. We leverage these per-site properties to identify promising perovskites with high theoretical OER activity. The identiﬁed design principles and promising materials provide a roadmap for closing the gap between current artiﬁcial catalysts and biological enzymes such as photosystem II. Atomic-level design of highly active catalysts that rival the efﬁciency of natural enzymes is one of the ultimate goals of chemistry and materials science.Whereasenzymeshavebeenﬁne-tunedresidue-by-residuethrough biological evolution for millions of years, human-designed homoand hetero-geneous catalysts to date remain far from optimal. For example, for theoxygenevolutionreaction(OER),oneofthemostimportantreactionsin both photosynthesis and renewable chemical and fuel production, the turnover frequency in photosystem II is at least two or three orders of magnitude higher than state-of-the-art heterogeneous catalysts1–3. Moreover, enzymatic catalysis demonstrates the signiﬁcance of site-dependent reactivity, as reactions occur within highly specialized pockets and tailored",promising perovskites,,,,,0.25,material_without_anchor,False,
10.1038/s41598-025-95130-7,Machine_learning_assisted_Co3O4NiO_popsicle_sticks-infused_e.pdf,Machine learning assisted Co3O4/NiO popsicle sticks-infused electrospun nanofibers for efficient oxygen evolution reaction,"Wide range of noble metal free bimetallic and trimetallic based electrocatalysts have been synthesized to develop efficient oxygen evolution reaction (OER) systems to-date, however, to determine which metal part of bimetallic and trimetallic electrocatalysts plays a significant role in controlling OER efficacy remains very challenging. To address this issue, herein we have employed machine learning (ML) for the first time to determine OER efficacy controlling metal element, thus leading to the development of an optimized bimetallic electrocatalyst. Briefly, we have designed a novel, simple ML optimized sustainable OER electrocatalyst based on Co3O4/NiO popsicle sticks (CNPS) infused polyaniline/cellulose acetate (a biopolymer) (PNCA) electrospun nanofibers supported on nickel foam (NF). ML optimized CNPS infused PNCA (CNPS@PNCA) electrode offers maximum and homogenous exposition of active sites and shows high OER activity by exhibiting low onset potential (1.41 V vs. RHE), overpotential (237 mV at 10 mA cm−2) and Tafel slope of 62.1 mV dec−1. Additionally, it shows a better stability of more than 100 h and is consistent with the reported literature. Keywords Renewable energy, Oxygen evolution reaction, Water splitting, Co3O4/NiO popsicle sticks, Machine learning, Electrospinning Energy plays a crucial part in the advancement of a nation’s economy, the quality of life, the improvement of infrastructure, and the facilitation of trade. There’s an imperative need for the implementation of novel reforms aimed at augmenting energy production and storage capacities to adequately address the escalating future energy requirements1. At present, fossil fuels are utilized as the predominant method to meet the increasing energy demands in diverse industrial sectors. Nevertheless, the unregulated and widespread utilization of fossil fuels has propelled our planet into a disconcerting condition characterized by a substantial escalation",CNPS@PNCA,nickel foam,1 M KOH,237,10,1.0,complete,True,"ML optimized CNPS infused PNCA (CNPS@PNCA) electrode offers maximum and homogenous exposition of active sites and shows high OER activity by exhibiting low onset potential (1.41 V vs. RHE), overpotential (237 mV at 10 mA cm−2) and Tafel slope of 62.1 mV dec−1."
10.1038/s41524-024-01386-4,Developing_new_electrocatalysts_for_oxygen_evolution_reactio.pdf,Developing new electrocatalysts for oxygen evolution reaction via high throughput experiments and artiﬁcial intelligence,"The development of non-noble metal electrocatalysts for the Oxygen Evolution Reaction (OER) is advancing towards the use of multi-element materials. To reveal the complex correlations of multielement OER electrocatalysts, we developed an iterative workﬂow combining high-throughput experiments and AI-generated content (AIGC) processes. An increased number of 909 (compared to 145 in previous literature) universal descriptors for inorganic materials science were constructed and used as Artiﬁcial Neural Network (ANN) input. A large number of statistical ensembles with each ANN individual ensemble having a reduced number of descriptors were integrated with a new Hierarchical Neural Network (HNN) algorithm. This algorithm addresses the longstanding challenge of balancing overwhelming descriptor numbers with insufﬁcient datasets in traditional ANN approaches to materials science problems. As a result, the combination of AIGC and experimental validation signiﬁcantly enhanced prediction accuracy, increase the R2 values from 0.7 to 0.98 for Tafel slopes. The electro-catalytic oxygen evolution reaction (OER) involves the fourelectron transfer. It is a rate-limiting step in water splitting and metal-air",,glassy carbon,,,,0.2,missing_anchor,False,
10.1038/s41467-025-55857-3,Author_Correction_Operando_monitoring_of_the_functional_role.pdf,published online 10 January 2025,"Author Correction: Operando monitoring of the functional role of tetrahedral cobalt centers for the oxygen evolution reaction Yonggui Zhao , Nanchen Dongfang, Chong Huang , Rolf Erni , Jingguo Li , Han Zhao, Long Pan , Marcella Iannuzzi & Greta R. Patzke In the version of this article initially published, in the Methods “Materials characterizations” section, a reference was missing and is now cited (Triana, C., Cuello, G., Huang, C., & Zhao, Y. Insights into the disorder-reconstruction correlations of cobalt carbodiimide during water oxidation by pair distribution function analysis. Institut Laue-Langevin, https://doi.org/10.5291/ ILL-DATA.6-06-53 (2024)), while inthe Acknowledgements, thanks to the Institut Laue-Langevin",ILL-DATA.6,,,,,0.25,material_without_anchor,False,
10.1038/srep07629,Graphene-Co3O4nanocomposite_as_electrocatalyst_with_high_per.pdf,Graphene-Co3O4 nanocomposite as electrocatalyst with high performance for oxygen evolution reaction,"Graphene-Co3O4 composite with a unique sandwich-architecture was successfully synthesized and applied as an efficient electrocatalyst for oxygen evolution reaction. Field emission scanning electron microscopy (FESEM) and transmission electron microscopy (TEM) analyses confirmed that Co3O4 nanocrystals were homogeneously distributed on both sides of graphene nanosheets. The obtained composite shows enhanced catalytic activities in both alkaline and neutral electrolytes. The onset potential towards the oxygen evolution reaction is 0.406 V (vs. Ag/AgCl) in 1 M KOH solution, and 0.858 V (vs. Ag/AgCl) in neutral phosphate buffer solution (PBS), respectively. The current density of 10 mA/cm2 has been achieved at the overpotential of 313 mV in 1 M KOH and 498 mV in PBS. The graphene-Co3O4 composite also exhibited an excellent stability in both alkaline and neutral electrolytes. In particular, no obvious current density decay was observed after 10 hours testing in alkaline solution and the morphology of the material was well maintained, which could be ascribed to the synergistic effect of combining Co3O4 and graphene. S olar-driven electrochemical transformation of small molecules, such as water splitting and carbon dioxide",Ag/AgCl,foam,1 M KOH,313,10,1.0,complete,True,"In 1 M KOH solution, G-Co3O4 catalyst shows a sharp onset potential at 0.406 V (vs. Ag/AgCl, following the method described by Chen et al.)34, and achieves the current density of j 5 10 mA/cm2 at the overpotential of 313 mV, which is much better than that of the Co3O4/SWNTs (593 mV) and mesoporous Co3O4 catalysts (525 mV) in the same alkaline solution, and even comparable to the best performance of G/Co3O4 catalysts (310 mV)20,27,29."
10.1038/s44172-023-00080-5,A_Quaternary_mixed_oxide_protective_scaffold_for_ruthenium_d.pdf,OPEN,"Proton exchange membrane water electrolysis is widely used in hydrogen production, but its application is limited by signiﬁcant electrocatalyst dissolution at the anode during the oxygen evolution reaction (OER). The best performing electrocatalysts to date are based on ruthenium and iridium oxides, but these experience degradation even at moderate cell potentials. Here we investigate a quaternary Sn-Sb-Mo-W mixed oxide as a protective scaffold for ruthenium oxide. The acid-stable mixed oxide consists of an interconnected network of nanostructured oxides capable of stabilizing ruthenium into the matrix (Ru-MO). In combination with titanium ﬁbre felt, we observed a lower degradation in the oxygen evolution reaction activity compared to unprotected ruthenium oxide after the electrochemical stress test. The superior stability of Ru-MO@Ti is attributed to the presence of MO which hinders the formation of reactive higher valence ruthenium (Ru+8). Our work demonstrates the potential of multi-metal oxides to extend the lifetime of the OER active metal and the titanium support.",Sn-Sb-Mo-W,fluorine-doped tin oxide,0.5 M H2SO4,,,0.55,material_without_anchor,False,
10.1038/s41598-020-71389-w,Synergistic_effects_in_bimetallic_PdCoO_electrocatalytic_thi.pdf,"improving the catalytic ­efficiency20–23. Various different protocols are available to create that synergic interface,","Bimetallic catalysts due to the synergistic effects often outperform their single-component counterparts while exhibiting structure and composition-dependent enhancement in active sites, thereby having the potential to improve the current density and over-potential parameters in the water oxidation reaction. Herein, we demonstrate a simple and rapid, yet highly efficient method to fabricate Pd–CoO films of immaculate homogeneity as characterized using different imaging and spectroscopic techniques. The SEM images revealed that the films were composed of bimetallic spherical granules wherein both metals were uniformly distributed in an atomic ratio of ~ 1:1. The time-dependent investigations of the film fabrication behavior demonstrated that the films formed in shorter deposition times (1–2 h) display more porous character, allowing better access to the reaction centers. This character was transcribed into their enhanced electrocatalytic performance toward the oxygen evolution reaction (OER). Using this specific bimetallic formulation, we could attain a low over-potential of 274 mV for a current density of 10 mA cm−2, whereas the high current density value of > 200 mA cm−2 was achieved while still under 600 mV of over-potential. The cycling and current generation stability was also found to be sufficiently high, which can only be attributed to the facile electron transfer processes and a higher number of active sites available in homogeneous bimetallic films. Electrocatalytic water oxidation is an extensively studied reaction due to its importance in industrial water splitting for hydrogen-based ­economy1. Such a non-reliance on fossil fuels can enforce a change towards a more sustainable society with a lesser burden of pollution on the climate. However, this anodic reaction is a limiting factor in the large scale electrolysis of ­water2. The process includes four proton-coupled electron transfers and two oxygen atoms bonding together, making it electrochemically sluggish because of high energy ­demands3. The result is the high over-potentials, and low current densities, whereas the target is to achieve an industrial standard current density of more than 100 mA cm−2 with the least over-potential ­possible4. Thus, the materials with the",Pd-CoO,foam,0.1 M KOH,274,10,1.0,complete,True,"This character was transcribed into their enhanced electrocatalytic performance toward the oxygen evolution reaction (OER). Using this specific bimetallic formulation, we could attain a low over-potential of 274 mV for a current density of 10 mA cm−2, whereas the high current density value of > 200 mA cm−2 was achieved while still under 600 mV of over-potential."
10.1038/s42004-023-01024-y,Reporting_activities_for_the_oxygen_evolution_reaction.pdf,OPEN,"Reporting activities for the oxygen evolution reaction Marcel Risch 1✉ The oxygen evolution reaction (OER) is a key enabler of sustainable chemical energy storage. Here, the author assesses the current status of protocols for benchmarking the OER in materialsand device-centered investigations and makes suggestions for more comparable data. Signiﬁcance of the oxygen evolution reaction Sustainable, climate-friendly, alternatives to fossil resources are needed to meet the needs of the energy and chemical sectors. Precursor feeds of non-potable water1 and in some cases aqueous nitrogen or carbon dioxide could be electrochemically reacted to sustainably produce many key fuels and valuable chemicals from renewable sources used in devices such as electrolyzers or photoelectrochemical cells (Fig. 1). The water oxidation reaction (WOR) or oxygen evolution reaction (OER) at the anode takes a pivotal role in this approach as it provides the protonated ions for the reduction of precursors at the cathode to the desired fuel or chemical. Four electrons and ions need to be transferred to make O2 from 2H2O (or 4OHin alkaline media), at the cost of large overpotential at the fuelor chemical-producing cathode. Additionally, the needed high potentials to drive the OER may degrade various electrode components2. Therefore, the identiﬁcation of stable and active electrocatalysts for the OER has received considerable interest in the last decades. While stability and activity are both important and usually linked, this Comment focuses on reporting the activity of OER electrocatalysts in the context of the most mature ﬁeld of water electrolysis and in particular the issue of comparability among reported activities in current benchmarking studies. Benchmarking protocols Bligaard et al.3 deﬁne benchmarking in catalysis as a “community-based and (preferably) community-driven activity involving consensus-based decisions on how to make reproducible, fair, and relevant assessments […] between new and standard catalysts”. Building on the latter",O2 n/a,carbon paper,,100,10,0.9,complete,True,"RHE) at 10 mV/s, 1600 rpm, O2 Potential steps (1.23 to 1.82 V vs. RHE, 30 s), 1600 rpm, O2 Current steps (0.1 to 20 mA/cm2, 30 s), 1600 rpm, O2 2 h at 10 mA/ cm2, 1600 rpm, O2 n/a Spanos et al."
,Erratum_Activation_of_surface_oxygen_sites_on_an_iridium-bas.pdf,NATURE ENERGY | www.nature.com/natureenergy ARTICLES,"In the version of this Article originally published, there was an error in Figure 5c. Additionally, accents were omitted from the names of two authors, Arnaud Demortière and Matthieu Saubanère. These errors have been corrected in all versions of the Article. Erratum: Activation of surface oxygen sites on an iridium-based model catalyst for the oxygen evolution reaction Alexis Grimaud, Arnaud Demortière, Matthieu Saubanère, Walid Dachraoui, Martial Duchamp, Marie-Liesse Doublet and Jean-Marie Tarascon",,,,,,0.0,missing_anchor,False,
10.1038/s41557-025-01932-7,Author_Correction_Interfacial_solvation_pre-organizes_the_tr.pdf,published online 3 September 2025,"Author Correction: Interfacial solvation pre-organizes the transition state of the oxygen evolution reaction Ricardo Martínez-Hincapié , Janis Timoshenko , Timon Wagner , Eduardo Ortega, Jody Druce, Mariana C. O. Monteiro, Martina Rüscher, Joonbaek Jang, Elif Öykü Alagöz, Samuele Lasagna , Leon Jacobse, Arno Bergmann , Beatriz Roldan Cuenya & Sebastian Z. Oener In the version of the article initially published, in Fig. 2d the label “10−2 mA cm−2” should have read “1 mA cm−2” and in Fig. 2e, the label “1 mA cm−2” should have read “10 mA cm−2”. In both panels in Fig. 4, the label “10−1 mA cm−2” should have read “10 mA cm−2”. In Supplementary Fig. 10d, the label “10−2 mA cm−2” should have read “102 mA cm−2”. These corrections have been made to the HTML and PDF versions of the article. Open Access This article is licensed under a Creative Commons Attribution 4.0 International",under a Creative Commons Attribution 4.0 International,,,,,0.25,material_without_anchor,False,
10.1038/s41929-022-00740-3,Author_Correction_Oxygen_evolution_reaction_over_catalytic_s.pdf,Author Correction: Oxygen evolution reaction over catalytic single-site Co in a,"Author Correction: Oxygen evolution reaction over catalytic single-site Co in a well-defined brookite TiO2 nanorod surface Chang Liu , Jin Qian, Yifan Ye, Hua Zhou , Cheng-Jun Sun, Colton Sheehan, Zhiyong Zhang, Gang Wan, Yi-Sheng Liu , Jinghua Guo , Shuang Li, Hyeyoung Shin , Sooyeon Hwang, T. Brent Gunnoe, William A. Goddard III and Sen Zhang Correction to: Nature Catalysis https://doi.org/10.1038/s41929-020-00550-5, published online 14 December 2020. In the version of this article originally published, Co-TiO2 XRD patterns in Supplementary Figure 2 were erroneously presented as duplicates of TiO2 data. This error has now been corrected in a revised Supplementary Information file accompanying the article.",Co-TiO2,,,,,0.25,material_without_anchor,False,
10.1038/s41467-026-69124-6,Dynamic_chromium_dopant_promotes_interfacial_water_activatio.pdf,Dynamic chromium dopant promotes interfacial water activation on cobalt spinel oxide for efﬁcient oxygen evolution in acid,"Although cobalt spinel oxide-based catalysts have demonstrated promising performance for the oxygen evolution reaction in acid, strategies reported have largely focused on manipulating the binding energies of reaction intermediates through tailoring the inherent electronic structures. The role of interfacial water structures on the electrode surface in promoting the acidic oxygen evolution reaction performance through controlled water activation has been largely overlooked. Here we show that introducing chromium dopant into cobalt spinel oxide can simultaneously increase the activity and stability by promoting interfacial water dissociation and dynamic electron transfer. The chromium dopant can not only dynamically regulate the electronic structure of cobalt and mitigate the over-oxidation of active cobalt sites at high overpotential, but also enhance the coverage of hydroxyl species on the catalyst surface, thereby optimizing the interfacial water structure, accelerating the reactant free-water supply and promoting subsequent interfacial water dissociation. Consequently, the obtained catalyst demonstrates enhanced performance in both solution electrocatalysis and device electrocatalysis. This work provides a comprehensive understanding of enhancing the acidic oxygen evolution reaction performance by promoting interfacial water dissociation. The proton exchange membrane water electrolyzer (PEMWE) can effectively harness the intermittency and instability of renewable energy sources, making its widespread application vital for the development of green hydrogen production1–4. Nevertheless, the complex proton-coupled electron transfer process and harsh reaction environment in the anodic oxygen evolution reaction (OER) lead to the strong dependence on precious metal catalysts (IrO2), whose active",Cr-Co3O4,foil,0.5 M H2SO4,358,10,1.0,complete,True,"This leads to an environment enriched with free water molecules and enhances water dissociation, thereby boosting the acidic OER performance. Consequently, Cr-Co3O4 requires an overpotential of only 358 mV at 10 mA cm−2 and operates steadily for 160 h, better than that of commercial RuO2 (C-RuO2) and commercial IrO2 (C-IrO2)."
10.1038/s41467-021-23390-8,Modifying_redox_properties_and_local_bonding_of_Co3O4by_CeO2.pdf,OPEN,"Developing efﬁcient and stable earth-abundant electrocatalysts for acidic oxygen evolution reaction is the bottleneck for water splitting using proton exchange membrane electrolyzers. Here, we show that nanocrystalline CeO2 in a Co3O4/CeO2 nanocomposite can modify the redox properties of Co3O4 and enhances its intrinsic oxygen evolution reaction activity, and combine electrochemical and structural characterizations including kinetic isotope effect, pHand temperature-dependence, in situ Raman and ex situ X-ray absorption spectroscopy analyses to understand the origin. The local bonding environment of Co3O4 can be modiﬁed",Co3O4/CeO2,carbon paper,0.5 M H2SO4,347,10,1.0,complete,True,"Discussion In conclusion, Co3O4/CeO2 nanocomposite is established as an active earth-abundant OER electrocatalyst in acidic media. The overpotentials required for Co3O4/CeO2 to achieve a geometric catalytic current density of 10 mA cm–2 on FTO and carbon paper electrodes are ~423 and 347 mV, respectively, making it an efﬁcient earth-abundant electrocatalysts for acidic OER."
